"DBN","School.Name","pct_female","pct_male","pct_asian","pct_black","pct_hispanic","pct_multi.racial","pct_native_american","pct_white","pct_disabilities","pct_eng_learners","pct_poverty","economic_need_index","school_name","total_students","students_temp_housing","pct_temp_housing","students_residing_shelter","residing_dhs_shelter","residing_non_dhs_shelter","doubled_up"
"02M260","The Clinton School",62,38,13.6,3.6,13.6,5.9,0.5,54.9,20.3,0.7,20.4,24.9,"The Clinton School",860,"19",2.20930241,"7","s","s","11"
"02M267","East Side Elementary School, PS 267",50.3,49.7,17.6,3.3,14.6,6,0,58.5,17,8.2,16.2,14.8,"East Side Elementary School, PS 267",365,"14",3.83561626,"14","s","s","s"
"02M276","Battery Park City School",49.9,50,21.4,4.2,23.5,9.4,0,41.5,17.3,11.9,22.2,21.6,"Battery Park City School",894,"135",15.10067135,"122","19","103","s"
"02M280","Manhattan Early College School for Advertising",51.6,48.4,9.4,27.9,57.8,1,0.7,3.2,15.3,12.6,82.2,85.5,"Manhattan Early College School for Advertising",420,"91",21.66666687,"64","26","38","24"
"02M281","The River School",52.1,47.9,34.4,7,17.6,4.9,0.6,35.4,13.1,15.7,26,26.1,"The River School",548,"39",7.11678863,"26","s","s","7"
"02M282","Urban Assembly Maker Academy",33,67,8.1,25.1,50.2,2.3,0.4,13.2,25.7,6.2,74,73.8,"Urban Assembly Maker Academy",530,"59",11.13207564,"34","15","19","21"
"02M288","Food and Finance High School",57.1,42.9,2.9,33.8,58.4,0.4,0.7,3.6,24.9,4.2,82.2,80.4,"Food and Finance High School",442,"53",11.99095026,"20","9","11","32"
"02M289","I.S. 289",52.7,47.3,42.2,7,15.9,4.7,0.4,29.8,24,7,46.5,44.1,"I.S. 289",262,"19",7.25190863,"14","6","8","s"
"02M294","Essex Street Academy",51.5,48.5,7.2,19.9,38.5,3.9,0.3,28.8,30.2,1.7,64.8,59.1,"Essex Street Academy",360,"22",6.11111112,"10","s","s","10"
"02M296","High School of Hospitality Management",63.9,36.1,2.5,26.2,68.3,0.5,1,1,25.2,10.4,91.1,92.1,"High School of Hospitality Management",265,"98",36.98113263,"69","26","43","19"
"02M297","M.S. 297",52.3,47.4,8.4,11.1,47.4,5.6,0.3,27.2,23.5,23.2,63.2,59.1,"M.S. 297",362,"121",33.42541456,"102","37","65","17"
"02M298","Pace High School",54.6,45.4,11,31.5,50.5,1.5,0.2,5.3,22.6,4.2,80.5,78.3,"Pace High School",541,"46",8.50277245,"20","s","s","22"
"02M300","Urban Assembly School of Design and Construction,",37.3,62.7,1.3,26.3,66.2,0.9,0.9,4.4,23.7,7,83.8,85.6,"Urban Assembly School of Design and Construction,",237,"55",23.20675105,"27","10","17","22"
"02M303","Facing History School, The",48.7,51.3,1.4,23.5,72.9,0.4,0,1.4,24.5,13.4,90.3,91.7,"Facing History School, The",285,"61",21.40350938,"36","13","23","23"
"02M305","Urban Assembly Academy of Government and Law, The",59.5,40.1,12.7,33.7,47.6,1.2,1.2,3.6,17.1,6.7,84.9,86.5,"Urban Assembly Academy of Government and Law, The",259,"44",16.98841751,"23","15","8","18"
"02M308","Lower Manhattan Arts Academy",63.2,36.5,7.4,32.1,55.5,0.7,0.7,3.3,29.4,6.7,84.3,89.4,"Lower Manhattan Arts Academy",296,"51",17.22972989,"24","12","12","20"
"02M312","New York City Lab Middle School for Collaborative",46.5,53.5,45.9,3.1,14.7,6.7,0,28.9,21.6,3.6,38.5,38.8,"New York City Lab Middle School for Collaborative",551,"15",2.72232313,"10","s","s","s"
"02M313","James Baldwin School, The: A School for Expedition",54.7,45.3,3.4,39.9,52,0,2.7,2,35.1,6.8,95,94.3,"James Baldwin School, The: A School for Expedition",172,"28",16.27907008,"15","9","6","9"
"02M316","Urban Assembly School of Business for Young Women,",100,0,4.1,37.8,50,0,1.4,6.8,24.3,24.3,91.9,93.7,"Urban Assembly School of Business for Young Women,",129,"71",55.03876209,"63","13","50","s"
"02M340","Sixth Avenue Elementary School",48.3,51.7,9.6,5,22,15.8,0,47.7,16.1,8.7,23.5,28.5,"Sixth Avenue Elementary School",337,"36",10.6824927,"30","15","15","s"
"02M343","The Peck Slip School",52.6,47.4,10.2,6.3,36.6,10.7,0,36.1,14.3,22,32.5,38.4,"The Peck Slip School",368,"87",23.64130467,"84","74","10","s"
"02M347","The 47 American Sign Language & English Lower Scho",47.7,52.3,6.9,18.4,49.4,4,1.1,20.1,47.1,23,76.4,76.9,"The 47 American Sign Language & English Lower Scho",188,"41",21.80851102,"29","22","7","10"
"02M374","Gramercy Arts High School",71.3,28.5,5.4,28.5,51.1,2.4,0.4,11.6,18.4,1.8,76.4,74.6,"Gramercy Arts High School",486,"16",3.29218097,"7","s","s","7"
"02M376","NYC iSchool",53.7,46.3,8.9,14.5,35.6,4.3,0.4,34,25.5,1.6,54.6,54.5,"NYC iSchool",446,"18",4.03587446,"s","s","s","13"
"02M391","District 2 Pre-K Center",45.4,54.6,24.8,8,17.5,1.7,0,47.9,14.3,0,21.6,26.8,"District 2 Pre-K Center",504,"63",12.5,"57","22","35","6"
"02M392","Manhattan Business Academy",49.1,50.9,4.6,26.8,60.3,0.5,2.4,5.4,25.5,7.1,89.5,87.7,"Manhattan Business Academy",413,"56",13.55932206,"16","7","9","37"
"02M393","Business Of Sports School",28.8,71.2,2.3,33.6,60.1,0.7,0.2,2.6,25.8,7.9,85.4,88.1,"Business Of Sports School",421,"59",14.01425153,"23","12","11","32"
"02M394","Emma Lazarus High School",44.8,55.2,32,11.6,48.6,0,0.6,7.2,0.3,83.1,94.7,95,"Emma Lazarus High School",362,"126",34.80663002,"40","16","24","86"
"02M395","A School Without Walls",53.3,46.7,7.4,39.3,28.1,5.9,0,17,28.9,2.2,71.1,68.9,"A School Without Walls",149,"14",9.39597338,"11","s","s","s"
"02M397","Spruce Street School",51.8,48.2,24.6,6,15.8,11.2,0,42.4,17,6.5,19.6,24.3,"Spruce Street School",490,"56",11.42857149,"44","21","23","12"
"02M399","The High School For Language And Diplomacy",58.2,41.8,8.2,26.2,50.8,1.6,1.6,9,15.6,14.8,74.6,82.3,"The High School For Language And Diplomacy",123,"18",14.6341458,"14","s","s","s"
"02M400","High School for Environmental Studies",54,45.9,12.5,13.6,56,1.7,0.9,14.8,16.7,5.6,69.6,72.2,"High School for Environmental Studies",1059,"108",10.19830033,"44","26","18","53"
"02M407","Institute for Collaborative Education",52.1,47.7,6.9,18.3,20.2,6.9,0.4,45.8,24,0.4,33.1,36.4,"Institute for Collaborative Education",483,"17",3.5196688,"s","s","s","13"
"02M408","Professional Performing Arts High School",75.4,24.6,5.6,21.4,30.3,5.1,0.2,37.2,20.9,0.9,38.5,48.5,"Professional Performing Arts High School",531,"28",5.27306981,"6","s","s","18"
"02M411","Baruch College Campus High School",55.6,44.4,30.2,9.7,28.8,3,0.8,27.3,17.1,1.7,58.6,57.1,"Baruch College Campus High School",480,"10",2.0833334,"s","s","s","7"
"02M412","N.Y.C. Lab School for Collaborative Studies",46.1,53.9,30.4,6.8,17.6,4.5,0.2,40,28,0.7,53.9,49.6,"N.Y.C. Lab School for Collaborative Studies",424,"12",2.83018872,"s","s","s","8"
"02M413","School of the Future High School",47.3,52.4,15.1,14,22.1,6.3,0.7,41.7,26.1,2.6,45.3,48.3,"School of the Future High School",734,"27",3.6784742,"15","8","7","12"
"02M414","N.Y.C. Museum School",55.8,44.2,18.7,9.1,26.8,4.1,0.2,39.8,20.3,2.3,46.5,45,"N.Y.C. Museum School",482,"17",3.52697112,"s","s","s","15"
"02M416","Eleanor Roosevelt High School",58.7,41.3,23.5,7.4,23.3,4.4,0.4,40.9,14.8,0.4,47.4,45,"Eleanor Roosevelt High School",538,"22",4.0892195,"s","s","s","20"
"02M418","Millennium High School",55.9,44.1,43,5.3,16.3,3.7,0.1,31.5,14.3,1.2,45,45.6,"Millennium High School",673,"31",4.60624062,"s","s","s","27"
"02M419","Landmark High School",54.2,45.8,1.6,23.8,60.2,0.6,0.9,6.6,28.8,12.9,84.6,85.9,"Landmark High School",333,"64",19.21921968,"41","14","27","12"
"02M420","High School for Health Professions and Human Servi",70.5,29.5,20.6,15.4,53.8,0.7,1.3,7.7,13.8,3.6,85.7,79.6,"High School for Health Professions and Human Servi",1631,"95",5.82464747,"31","18","13","61"
"02M422","Quest to Learn",41.4,58.6,6.7,23.4,49.2,2.5,0.5,17,32.2,13.3,72.4,75.3,"Quest to Learn",470,"129",27.44680941,"90","39","51","26"
"02M425","Leadership and Public Service High School",57.5,42.5,10.2,22.2,62,1.1,1.1,3.4,14.7,7.5,82,83.7,"Leadership and Public Service High School",304,"66",21.71052694,"37","10","27","23"
"02M427","Manhattan Academy For Arts & Language",50.7,49.3,0.3,3,94,0,0,2.3,4.6,80.5,95,95,"Manhattan Academy For Arts & Language",351,"259",73.78917336,"225","65","160","29"
"02M432","Murray Hill Academy",45,55,16,22.7,46.6,1.3,0.4,11.3,16.8,3.4,81.1,78.5,"Murray Hill Academy",234,"22",9.40170959,"6","s","s","14"
"02M437","Hudson High School of Learning Technologies",34.1,65.9,7.4,25,60.8,0,0,6.8,24.4,13.6,77.3,81.3,"Hudson High School of Learning Technologies",217,"63",29.0322572,"36","12","24","14"
"02M438","International High School at Union Square",48.1,51.9,6.5,11.4,75.9,0,0.5,4.6,1.1,87.3,83.8,95,"International High School at Union Square",394,"208",52.7918756,"114","81","33","81"
"02M439","Manhattan Village Academy",54.7,45.3,17.3,14.9,52.5,1.2,0.7,13.4,19.6,3.5,68.8,63.1,"Manhattan Village Academy",441,"37",8.39002281,"13","s","s","22"
"02M449","Vanguard High School",50.7,49.3,3.4,27.6,59.5,0.7,0.7,7.8,24.4,6.3,79,84.4,"Vanguard High School",417,"49",11.75059974,"17","6","11","29"
"02M459","Manhattan International High School",48,52,8.8,15.8,63.3,0,0.5,11.3,2.7,72.4,84.5,95,"Manhattan International High School",385,"134",34.80519354,"85","50","35","43"
"02M475","Stuyvesant High School",44.6,55.4,72,2.2,4,4.2,0.6,16.9,1.6,0,48.2,44.8,"Stuyvesant High School",3252,"87",2.67527681,"9","s","s","72"
"02M489","High School of Economics and Finance",43.6,56.4,20.2,18.5,50.7,0.9,0.7,8.7,14.3,2.7,78.2,77,"High School of Economics and Finance",676,"63",9.3195267,"23","11","12","32"
"02M500","Unity Center for Urban Technologies",46.2,53.8,12.1,13.2,64.5,1.5,1.8,5.5,13.9,15.8,86.8,86.7,"Unity Center for Urban Technologies",286,"82",28.67132723,"53","31","22","23"
"02M507","Urban Assembly Gateway School for Technology",17.7,82.3,6,19.8,59.4,0.2,1.9,11.9,28.4,3.6,71.6,72.6,"Urban Assembly Gateway School for Technology",419,"37",8.83054882,"12","s","s","24"
"02M519","Talent Unlimited High School",75.7,24.3,4.7,21.6,55.1,4.5,0.4,13.7,19.1,1.3,64.3,61.3,"Talent Unlimited High School",438,"26",5.93607314,"7","s","s","19"
"02M520","Murry Bergtraum High School for Business Careers",45.4,54.6,6.2,49.2,40.8,0.8,0.8,2.3,16.9,0,82.3,84.4,"Murry Bergtraum High School for Business Careers",155,"41",26.45161152,"25","6","19","9"
"02M527","P.S. 527 - East Side School for Social Action",47.6,52.4,16.6,4.3,17.1,11.5,0,49.9,23.3,2.6,23.3,30.6,"P.S. 527 - East Side School for Social Action",404,"16",3.96039598,"10","s","s","s"
"02M529","Jacqueline Kennedy Onassis High School",62.3,37.7,3.8,21.2,66.1,0.3,1,7.2,18.8,13.7,83.9,87,"Jacqueline Kennedy Onassis High School",299,"66",22.07357883,"27","14","13","25"
"02M531","Repertory Company High School for Theatre Arts",79.8,18.8,2.8,24.9,48.8,2.8,1.4,18.8,23.9,0.9,64.8,59.3,"Repertory Company High School for Theatre Arts",212,"11",5.18867932,"s","s","s","6"
"02M533","Union Square Academy for Health Sciences",67.4,32.6,13.5,15.4,60.6,1.5,1.9,6.1,13.1,5.1,83.4,84.6,"Union Square Academy for Health Sciences",477,"47",9.85324979,"10","s","s","35"
"02M534","Harvest Collegiate High School",52.5,47.5,5.7,22.5,53.7,1.5,0.7,13.1,24.3,3,68.1,73.3,"Harvest Collegiate High School",403,"47",11.6625309,"18","8","10","27"
"02M542","Manhattan Bridges High School",42.9,57.1,0,0.2,99.6,0.2,0,0,10.4,40.7,92.2,91.9,"Manhattan Bridges High School",446,"126",28.25112045,"54","27","27","67"
"02M543","New Design High School",68.3,31.7,5.6,30.1,59.6,1.1,0.7,2.9,25.7,4.5,85.9,89.1,"New Design High School",456,"64",14.03508782,"29","14","15","34"
"02M544","Independence High School",44.8,54.8,2.8,29.5,66.5,0,0,1.1,33.8,22.4,93.2,94.8,"Independence High School",342,"93",27.19298303,"62","21","41","17"
"02M545","High School for Dual Language and Asian Studies",49.1,50.9,93,0.8,1.6,1.1,0.5,3,6.5,11.7,79.1,74.2,"High School for Dual Language and Asian Studies",371,"36",9.70350429,"s","s","s","35"
"02M546","Academy for Software Engineering",17.6,82.4,15.9,28.2,48.4,1.9,1,4.6,25.1,7.7,81,84.6,"Academy for Software Engineering",422,"59",13.9810428,"24","17","7","29"
"02M550","Liberty High School Academy for Newcomers",38.8,61.2,3.9,21,68.5,0,0,6.5,2,91.3,94.4,95,"Liberty High School Academy for Newcomers",551,"296",53.72051001,"116","68","48","161"
"02M551","Urban Assembly New York Harbor School",32.1,67.9,5.2,17.1,39.3,6,0.8,31.5,25.8,2.8,58.5,59.3,"Urban Assembly New York Harbor School",488,"19",3.89344245,"9","s","s","10"
"02M560","High School M560 - City As School",52.5,47.5,1.9,34.5,43,2.8,0.8,17,36.4,4.7,74.6,79.3,"High School M560 - City As School",581,"55",9.46643725,"15","6","9","33"
"02M565","Urban Academy Laboratory High School",63.2,35.3,3,27.8,32.3,6.8,0,30.1,24.1,3.8,51.1,53.6,"Urban Academy Laboratory High School",137,"15",10.94890535,"7","s","s","s"
"02M570","Satellite Academy High School",56.5,43.5,0.6,30.5,64.3,0,1.9,2.6,24,9.7,89.6,92.4,"Satellite Academy High School",166,"23",13.85542154,"10","s","s","12"
"02M575","Manhattan Comprehensive Night and Day High School",38.7,61.3,6.3,24.3,65.3,0,0.3,3.8,5.9,76.1,89,95,"Manhattan Comprehensive Night and Day High School",872,"408",46.7889905,"152","63","89","244"
"02M580","Richard R. Green High School of Teaching",61.8,38.2,13,20.9,41.2,3.5,0.8,19.8,18.4,3.3,68.3,65.2,"Richard R. Green High School of Teaching",380,"40",10.52631587,"10","s","s","27"
"02M586","Harvey Milk High School",60.5,36.8,5.3,18.4,65.8,2.6,0,6.6,43.4,6.6,80.3,80.7,"Harvey Milk High School",87,"11",12.64367849,"6","s","s","s"
"02M600","The High School of Fashion Industries",87.4,12.5,4.1,28.5,59.4,1.3,0.7,5.1,18.2,2.3,82.1,77.8,"The High School of Fashion Industries",1483,"138",9.30546224,"48","18","30","79"
"02M605","Humanities Preparatory Academy",53.2,46.8,8.7,15.1,49.8,1.9,0.4,19.6,23,4.2,66.8,65.9,"Humanities Preparatory Academy",265,"26",9.8113209,"9","s","s","13"
"02M615","Chelsea Career and Technical Education High School",31.7,68.3,14.4,27.2,52.1,1,0.3,4.7,23.6,5.2,82.5,83.1,"Chelsea Career and Technical Education High School",396,"39",9.84848514,"16","s","s","20"
"02M630","Art and Design High School",68.9,30.8,9.5,13.2,39.9,5.3,0.6,28.6,21.4,0.9,44.6,47.9,"Art and Design High School",1475,"46",3.1186441,"12","s","s","33"
"02M655","The High School for Climate Justice",50.3,49.7,5.7,20.5,62,0.9,1.5,4.5,22.6,6,89.2,91.9,"The High School for Climate Justice",342,"66",19.29824501,"31","18","13","35"
